"ID";"PlantProtectionProducts";"Periods";"SalesActiveIngredient_1";"SalesActiveIngredientIndexnumber_2"
"376";"A048556";"2014JJ00";"       8";"     143"
"377";"A048556";"2015JJ00";"       7";"     131"
"378";"A048556";"2016JJ00";"      12";"     215"
"379";"A048556";"2017JJ00";"      15";"     276"
"380";"A048556";"2018JJ00";"      19";"     352"
"381";"A048556";"2019JJ00";"      18";"     331"
"382";"A048556";"2020JJ00";"      18";"     336"
"383";"A048556";"2021JJ00";"       9";"     162"
"384";"A048557";"2010JJ00";"";""
"385";"A048557";"2011JJ00";"";""
"386";"A048557";"2012JJ00";"";""
"387";"A048557";"2013JJ00";"";""
"388";"A048557";"2014JJ00";"";""
"389";"A048557";"2015JJ00";"";""
"390";"A048557";"2016JJ00";"";""
"391";"A048557";"2017JJ00";"";""
"392";"A048557";"2018JJ00";"";""
"393";"A048557";"2019JJ00";"";""
"394";"A048557";"2020JJ00";"";""
"395";"A048557";"2021JJ00";"";""
"396";"A028458";"2010JJ00";"";""
"397";"A028458";"2011JJ00";"";""
"398";"A028458";"2012JJ00";"";""
"399";"A028458";"2013JJ00";"";""
"400";"A028458";"2014JJ00";"";""
"401";"A028458";"2015JJ00";"";""
"402";"A028458";"2016JJ00";"";""
"403";"A028458";"2017JJ00";"";""
"404";"A028458";"2018JJ00";"";""
"405";"A028458";"2019JJ00";"";""
"406";"A028458";"2020JJ00";"";""
"407";"A028458";"2021JJ00";"";""
"408";"A048559";"2010JJ00";"       5";"      74"
"409";"A048559";"2011JJ00";"       7";"     100"
"410";"A048559";"2012JJ00";"       3";"      38"
"411";"A048559";"2013JJ00";"       5";"      73"
"412";"A048559";"2014JJ00";"       6";"      83"
"413";"A048559";"2015JJ00";"       8";"     113"
"414";"A048559";"2016JJ00";"      14";"     188"
"415";"A048559";"2017JJ00";"      14";"     188"
"416";"A048559";"2018JJ00";"      39";"     544"
"417";"A048559";"2019JJ00";"       7";"      93"
"418";"A048559";"2020JJ00";"      21";"     292"
"419";"A048559";"2021JJ00";"      25";"     346"
"420";"A048560";"2010JJ00";"    1327";"      87"
"421";"A048560";"2011JJ00";"    1524";"     100"
"422";"A048560";"2012JJ00";"    1427";"      94"
"423";"A048560";"2013JJ00";"    1574";"     103"
"424";"A048560";"2014JJ00";"     270";"      18"
"425";"A048560";"2015JJ00";"      45";"       3"
"426";"A048560";"2016JJ00";"      66";"       4"
"427";"A048560";"2017JJ00";"      35";"       2"
"428";"A048560";"2018JJ00";"      79";"       5"
"429";"A048560";"2019JJ00";"      81";"       5"
"430";"A048560";"2020JJ00";"     159";"      10"
"431";"A048560";"2021JJ00";"     108";"       7"
"432";"A048561";"2010JJ00";"       0";"     122"
